Category,Order Date,Postal Code,Segment,Product Name,Price,Quantity,Discount,Region
Furniture,9/17/2016,19140,Consumer,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",15.53,3,0.2,East
Office Supplies,9/17/2016,19140,Consumer,Poly String Tie Envelopes,1.1,2,0.2,East
Office Supplies,9/17/2016,19140,Consumer,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",9.71,6,0.2,East
Office Supplies,9/17/2016,19140,Consumer,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",5.72,6,0.7,East
Office Supplies,9/17/2016,19140,Consumer,Lumber Crayons,3.55,2,0.2,East
Office Supplies,10/19/2018,77095,Home Office,Easy-staple paper,9.95,3,0.2,Central
Technology,8/12/2017,75080,Corporate,GE 30524EE4,123.47,7,0.2,Central
Furniture,8/12/2017,75080,Corporate,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",147.96,5,0.6,Central
Office Supplies,12/27/2016,77041,Home Office,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",35.42,9,0.2,Central
Furniture,12/27/2016,77041,Home Office,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",46.98,3,0.32,Central
Furniture,12/27/2016,77041,Home Office,"Global Fabric Manager's Chair, Dark Gray",15.15,3,0.3,Central
Technology,12/27/2016,77041,Home Office,Plantronics HL10 Handset Lifter,41.76,4,0.2,Central
Technology,10/9/2018,60540,Corporate,Panasonic Kx-TS550,16.56,4,0.2,Central
Office Supplies,7/17/2017,90049,Corporate,"Eldon Base for stackable storage shelf, platinum",3.89,2,0,West
Office Supplies,9/19/2018,32935,Corporate,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",9.56,2,0.2,South
Technology,11/3/2017,55122,Corporate,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",19.77,2,0,Central
Office Supplies,11/3/2017,55122,Corporate,Wilson Jones Leather-Like Binders with DublLock Round Rings,8.21,2,0,Central
Office Supplies,10/20/2015,48185,Consumer,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8.48,4,0,Central
Technology,6/20/2017,19901,Consumer,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,4.95,3,0,East
Technology,6/20/2017,19901,Consumer,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6.1,2,0,East
Office Supplies,4/18/2016,47150,Consumer,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",17.96,6,0,Central
Office Supplies,4/18/2016,47150,Consumer,Avery 485,35.33,6,0,Central
Furniture,4/18/2016,47150,Consumer,Longer-Life Soft White Bulbs,2.96,2,0,Central
Furniture,4/18/2016,47150,Consumer,"Global Leather Task Chair, Black",17.1,1,0,Central
Office Supplies,11/12/2017,10024,Corporate,Advantus Push Pins,6.26,7,0,East
Technology,11/12/2017,10024,Corporate,AT&T CL83451 4-Handset Telephone,1.49,5,0,East
Office Supplies,6/17/2017,12180,Consumer,Home/Office Personal File Carts,52.14,6,0,East
Office Supplies,6/17/2017,12180,Consumer,Xerox 232,15.55,5,0,East
Furniture,6/17/2017,12180,Consumer,Novimex Turbo Task Chair,7.1,5,0.1,East
Office Supplies,6/17/2017,12180,Consumer,"Array Parchment Paper, Assorted Colors",6.99,2,0,East
Technology,6/17/2017,12180,Consumer,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3.3,2,0,East
Office Supplies,6/17/2017,12180,Consumer,Plastic Binding Combs,16.36,4,0.2,East
Office Supplies,6/17/2017,12180,Consumer,Prang Dustless Chalk Sticks,0.84,1,0,East
Technology,11/24/2016,90004,Consumer,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6.15,2,0,West
Office Supplies,11/24/2016,90004,Consumer,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",9.36,6,0.2,West
Office Supplies,11/24/2016,90004,Consumer,Xerox 1943,68.96,3,0,West
Furniture,11/24/2016,90004,Consumer,Luxo Economy Swing Arm Lamp,22.33,4,0,West
Furniture,4/30/2016,60610,Home Office,"Global Value Mid-Back Manager's Chair, Gray",15.22,5,0.3,Central
Office Supplies,5/12/2015,85234,Corporate,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111.3,8,0.2,West
Technology,5/12/2015,85234,Corporate,netTALK DUO VoIP Telephone Service,62.99,4,0.2,West
Office Supplies,4/6/2017,22153,Consumer,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",35.66,2,0,South
Office Supplies,9/18/2017,10009,Consumer,Avery Binding System Hidden Tab Executive Style Index Sets,1.73,1,0.2,East
Office Supplies,9/14/2018,49201,Consumer,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",8.76,3,0,Central
Furniture,4/26/2016,38109,Consumer,High-Back Leather Manager's Chair,114.39,8,0.2,South
Furniture,4/26/2016,38109,Consumer,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1.21,2,0.2,South
Office Supplies,4/26/2016,38109,Consumer,Safco Industrial Wire Shelving System,18.2,1,0.2,South
Office Supplies,9/12/2018,77041,Corporate,Economy Binders,1.93,3,0.8,Central
Furniture,9/12/2018,77041,Corporate,"6"" Cubicle Wall Clock, Black",5.82,3,0.6,Central
Office Supplies,9/12/2018,77041,Corporate,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",2.72,3,0.2,Central
Furniture,11/26/2015,77070,Consumer,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",14.48,5,0.6,Central
Office Supplies,12/6/2017,35601,Corporate,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",56.2,1,0,South
Office Supplies,12/6/2017,35601,Corporate,Avery Heavy-Duty EZD  Binder With Locking Rings,8.04,3,0,South
Office Supplies,12/10/2015,94122,Consumer,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.17,5,0,West
Office Supplies,12/10/2015,94122,Consumer,"Sortfiler Multipurpose Personal File Organizer, Black",6.2,1,0,West
Office Supplies,3/9/2016,27707,Corporate,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,62.81,7,0.2,South
Office Supplies,11/13/2018,60623,Home Office,Safco Industrial Wire Shelving,48.95,3,0.2,Central
Furniture,5/28/2018,29203,Consumer,Novimex Swivel Fabric Task Chair,33.22,2,0,South
Technology,10/26/2018,55901,Consumer,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,6.8,1,0,Central
Office Supplies,10/26/2018,55901,Consumer,Avery 511,2.96,2,0,Central
Office Supplies,5/4/2017,77095,Home Office,Eldon Portable Mobile Manager,13.86,7,0.2,Central
Office Supplies,9/17/2017,90036,Corporate,Turquoise Lead Holder with Pocket Clip,6.63,3,0,West
Technology,9/17/2017,90036,Corporate,Panasonic Kx-TS550,8.28,2,0.2,West
Office Supplies,9/17/2017,90036,Corporate,Xerox 1995,3.11,1,0,West
Office Supplies,1/31/2016,55407,Consumer,Xerox 1999,6.22,2,0,Central
Furniture,1/31/2016,55407,Consumer,"Seth Thomas 13 1/2"" Wall Clock",16.54,3,0,Central
Office Supplies,1/31/2016,55407,Consumer,Ibico Standard Transparent Covers,16.15,2,0,Central
Office Supplies,6/11/2018,97206,Home Office,Flexible Leather- Look Classic Collection Ring Binder,3.79,1,0.7,West
Furniture,9/11/2018,10009,Home Office,9-3/4 Diameter Round Wall Clock,40.54,7,0,East
Office Supplies,6/17/2018,94122,Consumer,Trimflex Flexible Post Binders,17.96,3,0.2,West
Office Supplies,6/9/2017,55106,Corporate,Fellowes Basic Home/Office Series Surge Protectors,22.59,6,0,Central
Office Supplies,8/29/2017,60610,Home Office,Avery Personal Creations Heavyweight Cards,22.62,7,0.2,Central
Technology,8/29/2017,60610,Home Office,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,10.8,3,0.2,Central
Office Supplies,8/29/2017,60610,Home Office,Avery Hidden Tab Dividers for Binding Systems,3.04,3,0.8,Central
Office Supplies,1/12/2017,55901,Consumer,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),11.72,4,0,Central
Technology,11/13/2016,80013,Consumer,Logitech K350 2.4Ghz Wireless Keyboard,26.88,6,0.2,West
Furniture,11/13/2016,80013,Consumer,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",3.84,3,0.2,West
Office Supplies,11/13/2016,80013,Consumer,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",25.82,3,0.7,West
Technology,11/23/2018,28205,Consumer,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,17.6,8,0.2,South
Technology,11/23/2018,28205,Consumer,Speck Products Candyshell Flip Case,2.1,1,0.2,South
Office Supplies,11/23/2018,28205,Consumer,Newell Chalk Holder,1.07,1,0.2,South
Technology,10/15/2016,60462,Home Office,Logitech Gaming G510s - Keyboard,67.99,5,0.2,Central
Furniture,12/25/2018,10035,Corporate,Magnifier Swing Arm Lamp,10.91,2,0,East
Office Supplies,3/11/2017,50322,Consumer,"Hunt PowerHouse Electric Pencil Sharpener, Blue",22.79,2,0,Central
Office Supplies,3/11/2017,50322,Consumer,"Avery Durable Plastic 1"" Binders",13.35,6,0,Central
Office Supplies,8/25/2015,43229,Consumer,"OIC Colored Binder Clips, Assorted Sizes",14.53,14,0.2,East
Office Supplies,8/25/2015,43229,Consumer,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",1.65,2,0.2,East
Office Supplies,8/25/2015,43229,Consumer,Xerox 1921,7.49,3,0.2,East
Office Supplies,8/25/2015,43229,Consumer,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",44.03,6,0.2,East
Furniture,2/3/2016,98103,Consumer,Hon Racetrack Conference Tables,165.38,3,0,West
Office Supplies,5/4/2016,37620,Corporate,GBC DocuBind 300 Electric Binding Machine,115.72,1,0.7,South
Furniture,12/6/2017,19805,Consumer,Artistic Insta-Plaque,18.35,3,0,East
Office Supplies,12/6/2017,19805,Consumer,DXL Angle-View Binders with Locking Rings by Samsill,13.88,4,0,East
Office Supplies,12/6/2017,19805,Consumer,"Companion Letter/Legal File, Black",63.44,6,0,East
Office Supplies,12/6/2017,19805,Consumer,Globe Weis Peel & Seel First Class Envelopes,51.76,9,0,East
Technology,12/6/2017,19805,Consumer,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,19.73,7,0,East
Furniture,12/26/2015,77041,Home Office,Global Deluxe High-Back Manager's Chair,8.58,3,0.3,Central
Furniture,9/20/2015,61701,Consumer,Bevis 44 x 96 Conference Tables,2.04,6,0.5,Central
Office Supplies,5/11/2018,85023,Consumer,"Avery Durable Slant Ring Binders, No Labels",1.83,2,0.7,West
Office Supplies,5/11/2018,85023,Consumer,"Trav-L-File Heavy-Duty Shuttle II, Black",30.5,7,0.2,West
Furniture,6/11/2017,90004,Home Office,"Global Task Chair, Black",9.16,2,0.2,West
Furniture,6/11/2017,90004,Home Office,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,26.24,3,0,West
Technology,2/2/2018,43229,Corporate,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,11.99,5,0.4,East
Office Supplies,2/2/2018,43229,Corporate,Xerox 1916,29.36,2,0.2,East
Office Supplies,2/2/2018,43229,Corporate,Staples,6.97,9,0.2,East
Office Supplies,10/13/2017,95661,Consumer,Xerox 195,9.62,3,0,West
Office Supplies,10/13/2017,95661,Consumer,Xerox 1880,16.66,1,0,West
Office Supplies,10/13/2017,95661,Consumer,"Sanford Colorific Colored Pencils, 12/Box",3.46,4,0,West
Office Supplies,10/13/2017,95661,Consumer,Ideal Clamps,1.97,2,0,West
Office Supplies,10/13/2017,95661,Consumer,GBC Wire Binding Strips,26.66,3,0.2,West
Office Supplies,10/13/2017,95661,Consumer,Fiskars Softgrip Scissors,18.45,6,0,West
Furniture,10/13/2017,95661,Consumer,Longer-Life Soft White Bulbs,20.7,14,0,West
Furniture,5/9/2017,19140,Corporate,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",10.35,2,0.2,East
Office Supplies,9/18/2018,94122,Corporate,Newell 343,2.38,3,0,West
Office Supplies,9/18/2018,94122,Corporate,Convenience Packs of Business Envelopes,5.1,3,0,West
Office Supplies,9/18/2018,94122,Corporate,Xerox 1911,68.98,3,0,West
Office Supplies,12/22/2018,64055,Consumer,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,218.25,3,0,Central
Office Supplies,7/9/2016,91104,Consumer,Safco Industrial Wire Shelving,20.16,7,0,West
Furniture,10/22/2015,43055,Home Office,"Seth Thomas 14"" Putty-Colored Wall Clock",12.91,4,0.2,East
Technology,5/12/2017,53132,Corporate,Plantronics Cordless Phone Headset with In-line Volume - M214C,103.8,11,0,Central
Technology,5/12/2017,53132,Corporate,Anker Astro 15000mAh USB Portable Charger,6,3,0,Central
Furniture,5/12/2017,53132,Corporate,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2.93,8,0,Central
Office Supplies,5/12/2017,53132,Corporate,GBC Prestige Therm-A-Bind Covers,80.63,5,0,Central
Office Supplies,3/13/2017,85254,Home Office,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,17.77,5,0.2,West
Technology,3/13/2017,85254,Home Office,Jabra BIZ 2300 Duo QD Duo Corded Headset,15.24,2,0.2,West
Office Supplies,5/31/2016,95123,Corporate,Southworth 25% Cotton Antique Laid Paper & Envelopes,26.27,7,0,West
Office Supplies,5/31/2016,95123,Corporate,Xerox 1883,48.54,4,0,West
Office Supplies,5/31/2016,95123,Corporate,"Tenex Personal Project File with Scoop Front Design, Black",21.03,6,0,West
Office Supplies,5/28/2016,98105,Home Office,Newell 311,1.79,3,0,West
Furniture,1/3/2015,98115,Consumer,Global Deluxe High-Back Manager's Chair,51.48,2,0.2,West
Office Supplies,11/20/2017,73034,Consumer,Avery 519,6.87,2,0,Central
Technology,11/20/2017,73034,Consumer,Avaya 5420 Digital phone,236.23,7,0,Central
Office Supplies,11/5/2017,90045,Consumer,Xerox 1920,2.69,1,0,West
Technology,12/28/2016,19134,Consumer,Lenovo 17-Key USB Numeric Keypad,1.36,2,0.2,East
Office Supplies,11/16/2017,88220,Consumer,Staple envelope,13.35,5,0,West
Office Supplies,7/11/2017,98115,Consumer,Wilson Jones International Size A4 Ring Binders,9.69,2,0.2,West
Office Supplies,8/9/2015,78207,Consumer,BIC Brite Liner Highlighters,2.73,3,0.2,Central
Technology,8/9/2015,78207,Consumer,Lexmark MX611dhe Monochrome Laser Printer,6.8,8,0.4,Central
Office Supplies,8/9/2015,78207,Consumer,Space Solutions HD Industrial Steel Shelving.,58.63,3,0.2,Central
Furniture,8/9/2015,78207,Consumer,SAFCO Arco Folding Chair,24.86,9,0.3,Central
Office Supplies,8/9/2015,78207,Consumer,Sanford Liquid Accent Highlighters,6.81,6,0.2,Central
Office Supplies,8/9/2015,78207,Consumer,Kensington 7 Outlet MasterPiece Power Center,2.27,5,0.8,Central
Technology,8/9/2015,78207,Consumer,JBL Micro Wireless Portable Bluetooth Speaker,9,3,0.2,Central
Office Supplies,5/8/2015,90004,Consumer,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",9.84,3,0,West
Office Supplies,5/8/2015,90004,Consumer,Xerox 1913,53.26,2,0,West
Furniture,5/8/2015,90004,Consumer,"Global Value Steno Chair, Gray",21.26,7,0.2,West
Office Supplies,9/14/2015,60623,Corporate,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,131.12,2,0.8,Central
Office Supplies,9/14/2015,60623,Corporate,Avery 51,6.55,4,0.2,Central
Office Supplies,4/21/2018,77036,Consumer,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",243.16,4,0.8,Central
Furniture,11/21/2016,43055,,"Padded Folding Chairs, Black, 4/Carton",11.34,7,0.3,East
Office Supplies,11/21/2016,43055,Consumer,Acme Rosewood Handle Letter Opener,3.77,5,0.2,East
Office Supplies,12/15/2016,10009,Home Office,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",1.41,1,0,East
Office Supplies,5/12/2015,62521,Corporate,"Tenex File Box, Personal Filing Tote with Lid, Black",1.86,2,0.2,Central
Technology,5/12/2015,62521,,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive,0,,0.2,
Technology,11/19/2015,71203,Home Office,AT&T TR1909W,131.03,4,0,South
Technology,11/19/2015,71203,Home Office,Nokia Lumia 521 (T-Mobile),41.99,5,0,South
Technology,11/19/2015,71203,Home Office,HP Standard 104 key PS/2 Keyboard,7.25,2,0,South
Office Supplies,11/28/2017,6824,Consumer,Avery Poly Binder Pockets,3.44,2,0,East
Technology,8/26/2015,90032,Home Office,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,22.98,8,0,West
Office Supplies,7/16/2017,75051,Corporate,"Personal Filing Tote with Lid, Black/Gray",3.72,3,0.2,Central
Office Supplies,7/16/2017,75051,Corporate,Southworth 25% Cotton Antique Laid Paper & Envelopes,6.26,3,0.2,Central
Furniture,12/10/2016,10035,Home Office,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",112.39,4,0.2,East
Technology,12/10/2016,10035,Home Office,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,20.09,6,0,East
Office Supplies,12/10/2016,10035,Home Office,Xerox 205,24.88,8,0,East
Furniture,12/10/2016,10035,Home Office,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",46.98,3,0.2,East
Office Supplies,12/10/2016,10035,Home Office,4009 Highlighters by Sanford,6.57,5,0,East
Office Supplies,10/31/2016,92374,Corporate,Poly String Tie Envelopes,6.71,7,0,West
Office Supplies,3/21/2015,45011,Consumer,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",1.2,2,0.2,East
Office Supplies,3/21/2015,45011,Consumer,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",1.59,3,0.2,East
Office Supplies,6/11/2018,7090,Home Office,Decoflex Hanging Personal Folder File,12.03,3,0,East
Office Supplies,6/7/2018,19120,Corporate,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.26,2,0.7,East
Office Supplies,6/7/2018,19120,Corporate,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",5.82,3,0.2,East
Office Supplies,6/24/2018,44312,Consumer,Southworth 25% Cotton Linen-Finish Paper & Envelopes,6.8,3,0.2,East
Furniture,3/8/2015,80219,Consumer,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,161.88,2,0.5,West
Office Supplies,3/8/2015,80219,Consumer,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",0.29,1,0.2,West
Office Supplies,12/17/2018,75220,Consumer,Eureka Sanitaire  Commercial Upright,178.97,2,0.8,Central
Furniture,3/6/2018,37064,Corporate,"Eldon 200 Class Desk Accessories, Burgundy",9.67,7,0.2,South
Technology,9/12/2018,90604,Consumer,Nortel Business Series Terminal T7208 Digital phone,44.48,4,0.2,West
Office Supplies,1/12/2018,48601,Consumer,"Tennsco Lockers, Gray",5.87,4,0,Central
Technology,1/12/2018,48601,Consumer,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,35.63,2,0,Central
Office Supplies,1/12/2018,48601,Consumer,"Avery Durable Slant Ring Binders, No Labels",7.48,4,0,Central
Office Supplies,1/12/2018,48601,Consumer,"Advantus Push Pins, Aluminum Head",16.21,9,0,Central
Office Supplies,1/12/2018,48601,Consumer,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",3.68,1,0,Central
Technology,9/2/2016,75220,Corporate,Memorex Micro Travel Drive 8 GB,6.5,2,0.2,Central
Office Supplies,2/1/2016,44256,Corporate,Avery 505,8.88,2,0.2,East
Furniture,2/1/2016,44256,Corporate,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,244.32,5,0.5,East
Technology,2/1/2016,44256,Corporate,Speck Products Candyshell Flip Case,14.7,3,0.4,East
Technology,2/1/2016,44256,Corporate,Cisco 9971 IP Video Phone Charcoal,4.75,9,0.7,East
Technology,2/1/2016,44256,Corporate,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,4.48,2,0.2,East
Office Supplies,10/28/2017,90032,Consumer,"Personal Filing Tote with Lid, Black/Gray",26.06,6,0,West
Technology,10/28/2017,90032,Consumer,Adtran 1202752G1,22.68,3,0.2,West
Office Supplies,12/24/2016,43017,Consumer,OIC Bulk Pack Metal Binder Clips,1.81,2,0.2,East
Office Supplies,12/24/2016,43017,Consumer,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",8.23,6,0.2,East
Office Supplies,12/24/2016,43017,Consumer,Ibico Standard Transparent Covers,13.84,4,0.7,East
Furniture,12/24/2016,43017,Consumer,"Executive Impressions 14"" Two-Color Numerals Wall Clock",19.08,4,0.2,East
Technology,12/24/2016,43017,Consumer,Swingline SM12-08 MicroCut Jam Free Shredder,1.92,4,0.7,East
Office Supplies,12/24/2016,43017,Consumer,Stanley Bostitch Contemporary Electric Pencil Sharpeners,2.72,2,0.2,East
Office Supplies,9/8/2016,48227,Corporate,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",0.97,1,0,Central
Furniture,9/8/2016,48227,Corporate,Bevis 36 x 72 Conference Tables,136.94,5,0,Central
Office Supplies,9/8/2016,48227,Corporate,Rogers Deluxe File Chest,0.22,1,0,Central
Furniture,2/28/2016,38401,Consumer,Global Low Back Tilter Chair,28.27,2,0.2,South
Furniture,2/28/2016,38401,Consumer,"Global Push Button Manager's Chair, Indigo",43.84,8,0.2,South
Office Supplies,9/13/2015,28205,Corporate,GBC Instant Index System for Binding Systems,12.43,7,0.7,South
Furniture,7/4/2018,33614,Home Office,Bush Advantage Collection Round Conference Table,102.05,2,0.45,South
Furniture,7/4/2018,33614,Home Office,Bretford Rectangular Conference Table Tops,248.25,3,0.45,South
Office Supplies,7/4/2018,33614,Home Office,GBC Instant Index System for Binding Systems,3.55,2,0.7,South
Furniture,7/4/2018,33614,Home Office,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",0,3,0.2,South
Technology,7/4/2018,33614,Home Office,Logitech P710e Mobile Speakerphone,7.72,3,0.2,South
Office Supplies,12/11/2018,95051,Corporate,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),4.75,2,0,West
Office Supplies,4/6/2017,60610,Consumer,Xerox 1957,9.4,5,0.2,Central
Furniture,4/6/2017,60610,Consumer,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1.78,5,0.6,Central
Furniture,4/6/2017,60610,Consumer,Staple-based wall hangings,4.68,3,0.6,Central
Technology,4/6/2017,60610,Consumer,PureGear Roll-On Screen Protector,11.19,2,0.2,Central
Furniture,4/6/2017,60610,Consumer,KI Conference Tables,120.51,5,0.5,Central
Furniture,4/6/2017,60610,Consumer,Eldon 100 Class Desk Accessories,2.83,3,0.6,Central
Office Supplies,4/6/2017,60610,Consumer,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",1.2,2,0.2,Central
Furniture,1/6/2015,55044,Home Office,Global Deluxe High-Back Manager's Chair,2.9,7,0,Central
Office Supplies,1/6/2015,55044,Home Office,Safco Steel Mobile File Cart,41.68,2,0,Central
Office Supplies,1/6/2015,55044,Home Office,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",23.94,6,0,Central
Office Supplies,1/6/2015,55044,Home Office,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,2.48,5,0,Central
Office Supplies,1/6/2015,55044,Home Office,Xerox 205,12.44,4,0,Central
Furniture,10/12/2017,94109,Consumer,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",28.14,2,0.2,West
Office Supplies,11/9/2017,92037,Consumer,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",3.58,1,0,West
Technology,11/9/2017,92037,Consumer,Logitech P710e Mobile Speakerphone,3.18,13,0,West
Office Supplies,10/12/2017,10024,Consumer,"Fellowes Personal Hanging Folder Files, Navy",22.56,6,0,East
